year,X4,X6,X8,X9,X11,X12,X13,X15,X16
2002,0.711,0.084,1.5761,20.087,2.546,0.356,7.168,-8.816,20.087
2004,1.614,1.345,13.9065,19.833,0.222,1.454,7.815,-8.974,19.833
2005,1.856,1.9,19.7568,23.135,0.0,1.679,9.122,-7.073,23.135
2006,1.252,1.005,29.0131,24.998,0.0,1.036,9.544,-5.977,24.998
2007,-0.432,-4.673,30.4793,28.72,5.822,-0.932,11.131,-10.708,28.72
2008,-2.721,-11.049,5.0201,34.28,0.023,-4.407,14.946,-21.447,34.28
1999,123.16,36.972,910.5998,732.443,591.784,97.527,365.76,54.359,732.443
2000,190.533,55.508,1764.3893,900.794,504.445,125.697,466.597,54.069,900.794
2001,163.601,-37.914,1172.2111,974.99,1030.254,85.99,469.492,-15.463,974.99
2002,187.264,-99.661,612.71,1230.762,847.266,142.699,581.94,-47.897,1230.762
2003,155.228,13.833,1045.8834,1297.285,782.249,105.547,567.29,72.5,1297.285
2004,153.829,-314.737,895.299,1339.48,10.0,66.613,620.254,-185.823,1339.48
2005,163.101,133.769,1541.7638,553.617,0.017,95.995,403.36,-175.285,553.617
2006,138.914,82.544,1038.6859,653.828,0.0,96.041,424.713,-89.737,653.828
2007,40.816,-13.581,882.4491,722.425,300.0,-5.522,454.615,-95.949,722.425
1999,3.873,-0.138,6.1972,107.31,0.591,1.849,27.743,-33.199,107.31
1999,2248.0,985.0,9932.415,17730.0,5689.0,1156.0,2248.0,5716.0,17730.0
2000,2583.0,813.0,5958.9688,19703.0,5474.0,1381.0,2583.0,5948.0,19703.0
2001,-456.0,-1762.0,3445.0155,18963.0,9834.0,-1860.0,-456.0,4042.0,18963.0
2002,-1256.0,-3511.0,1030.1874,17299.0,12310.0,-2622.0,-1256.0,-399.0,17299.0
2003,582.0,-1228.0,2066.5869,17440.0,13126.0,-795.0,3010.0,-1336.0,17440.0
2004,1159.0,-761.0,1764.6582,18645.0,13524.0,-133.0,3525.0,-1976.0,18645.0
2005,1266.0,-861.0,4062.1324,20712.0,13456.0,102.0,3880.0,-3152.0,20712.0
2006,2217.0,231.0,6717.8315,22563.0,12041.0,1060.0,4904.0,-3185.0,22563.0
2007,2093.0,504.0,3499.0539,22896.0,10093.0,1029.0,4870.0,-720.0,22896.0
2008,510.0,-2071.0,2976.3858,23766.0,9001.0,-573.0,3534.0,-6638.0,23766.0
2009,262.0,-1468.0,2571.1835,19917.0,10583.0,-745.0,2982.0,-7860.0,19917.0
2010,1303.0,-471.0,2597.5755,22170.0,9253.0,308.0,4032.0,-8362.0,22170.0
1999,1.171,-0.366,20.6275,23.862,28.29,0.442,8.387,-2.683,23.862
2000,3.96,-0.69,10.8433,89.817,26.101,2.009,17.893,-3.984,89.817
2001,6.381,-0.264,31.7262,90.994,18.588,4.305,19.588,-4.901,90.994
2002,3.455,-0.123,17.7415,78.877,16.202,2.201,15.357,-5.202,78.877
2003,2.556,-0.667,16.4753,68.159,13.388,1.364,12.958,-6.603,68.159
2004,2.338,-0.928,34.3759,69.366,11.894,1.185,12.994,-7.397,69.366
2005,4.704,-0.435,57.3588,81.521,12.847,3.525,17.012,-7.863,81.521
2006,7.276,3.094,103.0205,135.359,14.872,6.047,24.098,-5.258,135.359
2007,14.214,6.305,162.3832,235.953,4.429,12.634,40.362,0.337,235.953
2008,11.371,5.01,34.6617,217.89,25.2,8.195,45.016,3.381,217.89
2009,3.799,-15.032,56.4416,138.985,12.671,1.28,32.702,-10.369,138.985
2010,6.398,2.105,85.3412,140.602,10.8,4.64,33.91,-7.851,140.602
2011,13.767,8.272,80.5638,139.192,9.6,12.368,39.126,-1.049,139.192
2012,17.933,10.85,168.7421,135.052,0.0,16.683,43.362,7.379,135.052
2013,25.643,6.557,413.2812,197.317,79.16,18.996,62.741,10.939,197.317
2014,35.6,13.077,408.1892,263.217,103.541,24.332,87.04,12.43,263.217
2015,45.171,-5.602,260.4902,367.422,157.834,28.651,112.5,-4.105,367.422
2016,56.219,-38.218,476.5599,417.011,122.367,37.316,138.962,-54.783,417.011
2017,28.065,-3.029,177.3441,345.051,111.036,11.977,115.54,-61.592,345.051
2018,27.334,-7.121,235.008,337.339,82.313,14.062,114.796,-72.842,337.339
1999,27.638,9.757,363.8543,157.104,24.608,21.084,65.013,-5.421,157.104
2000,31.345,14.4,1382.4056,185.924,12.983,22.362,76.359,8.979,185.924
2001,44.563,21.354,626.535,232.808,11.428,32.963,107.749,29.89,232.808
2002,19.693,-10.781,417.0139,202.634,12.638,7.233,86.537,21.144,202.634
2003,29.472,6.395,461.7062,291.78,10.956,14.795,128.333,29.474,291.78
2004,62.111,12.147,1060.6898,414.101,5.505,40.255,206.818,49.192,414.101
2005,62.582,17.041,626.7576,463.371,4.19,38.17,234.128,63.866,463.371
2006,77.942,26.959,878.4009,551.846,3.558,47.473,276.21,95.273,551.846
1999,316.203,156.932,6614.3374,1630.273,18.174,221.231,435.502,660.456,1630.273
2000,954.43,567.537,3015.3565,2608.113,13.722,824.548,1103.698,1181.371,2608.113
2001,167.985,-7.232,3657.7783,1249.98,0.0,35.077,268.726,1155.698,1249.98
2002,97.052,-12.438,1563.849,1134.111,0.0,-22.869,189.093,1152.493,1134.111
2003,65.955,-107.606,2863.4555,1136.577,0.0,-27.842,151.483,1077.254,1136.577
2004,151.343,55.732,2118.6988,1283.202,0.0,70.609,258.772,1141.931,1283.202
2005,161.147,81.752,3048.2232,1333.208,0.0,96.181,272.257,1160.826,1333.208
2006,236.072,153.865,2609.4448,1498.495,0.0,182.213,352.054,1355.095,1498.495
2007,219.482,149.473,2191.3555,1619.275,0.0,163.936,346.33,1556.699,1619.275
2008,175.718,80.846,1547.0867,1389.613,0.0,109.52,297.615,1402.266,1389.613
2009,227.244,142.858,2415.0508,1304.966,0.0,169.071,335.771,1535.075,1304.966
2010,381.118,244.003,2536.8172,1653.176,0.0,333.499,505.005,1770.681,1653.176
2011,322.441,152.805,2248.9093,1545.254,0.0,275.551,438.849,1857.503,1545.254
2012,193.276,-64.312,2006.7327,1414.4,0.0,146.405,310.641,1718.739,1414.4
2013,209.373,127.037,2217.1528,1442.604,0.0,159.164,329.043,1797.982,1442.604
2014,254.963,225.871,2400.0713,1353.228,0.0,212.749,370.783,1881.811,1353.228
2015,208.253,101.535,2105.3744,1195.529,0.0,169.302,328.02,1935.144,1195.529
2016,244.734,125.785,2750.6934,1312.661,0.0,202.047,362.332,1966.122,1312.661
2017,242.353,4.91,2787.5827,1562.474,0.0,182.534,382.881,1983.724,1562.474
2018,404.11,271.813,2927.4428,1791.79,0.0,314.079,572.914,2117.09,1791.79
1999,964.345,168.903,2592.4641,2423.353,2206.052,578.777,964.345,668.284,2423.353
2000,1070.381,302.332,4039.7906,3690.175,1955.083,675.971,1070.381,849.883,3690.175
2001,1102.53,312.166,3549.9263,4551.373,2673.078,674.627,1102.53,968.285,4551.373
2002,940.933,149.408,3110.883,2637.279,2881.695,516.047,940.933,953.253,2637.279
2003,920.196,240.579,3653.3458,2817.852,2897.725,482.053,920.196,1088.698,2817.852
2004,907.364,243.195,4076.5271,2899.725,2584.985,506.259,907.364,1181.577,2899.725
2005,1001.503,176.267,4096.007,2987.955,2608.455,653.851,1001.503,1358.832,2987.955
2006,977.514,327.255,5066.9217,3401.748,3232.633,618.87,977.514,1332.015,3401.748
2007,992.687,307.143,4261.6113,3523.62,3127.125,619.251,992.687,1397.878,3523.62
2008,920.904,242.125,3241.5314,3367.076,3031.603,530.546,920.904,1297.51,3367.076
2009,984.557,68.33,3710.4923,3297.101,3370.524,580.226,984.557,1166.626,3297.101
2010,1138.439,350.053,4508.5165,3263.645,3045.794,723.884,1138.439,1264.194,3263.645
2011,1173.562,339.473,5263.4723,3241.379,3019.054,746.508,1173.562,1382.32,3241.379
2012,1256.091,381.542,5594.6981,3301.804,3199.088,851.755,1256.091,1510.094,3301.804
2013,1262.031,406.074,5830.8314,3454.628,2796.465,846.323,1262.031,1707.22,3454.628
2014,1228.6,397.595,7553.105,3491.632,3031.215,811.242,1228.6,1857.924,3491.632
2015,1349.024,437.257,7155.9904,3495.443,3462.391,854.602,1349.024,2048.055,3495.443
2016,1341.813,442.034,8687.6261,3498.682,4021.785,855.984,1341.813,2211.725,3498.682
2017,1468.545,488.456,9519.0354,3565.296,4789.713,934.427,1468.545,2397.509,3565.296
2018,1356.041,511.047,9551.0904,3691.247,4638.232,773.687,1356.041,2593.475,3691.247
1999,4161.581,2445.759,56176.1638,13177.625,1336.789,3333.575,8196.448,5745.678,13177.625
2000,4089.499,2785.977,74881.1781,13745.916,1076.368,3262.068,8334.701,6608.258,13745.916
2001,4705.95,1550.39,86665.0475,16285.246,4335.493,3537.932,10002.682,6686.685,16285.246
2002,5118.186,2793.703,62522.72,17684.663,4273.973,3940.841,10567.754,8081.604,17684.663
2003,5438.763,2753.233,72906.5388,19680.561,3452.329,4164.772,11585.136,10324.236,19680.561
2004,5744.026,3235.851,72775.1196,19680.016,4787.934,4455.326,12220.559,11357.172,19680.016
2005,6194.338,3372.065,60692.0361,22287.808,4571.504,4835.399,13275.636,11150.066,22287.808
2006,6418.969,1716.755,74879.1065,22476.322,7009.664,4860.219,14716.925,9958.494,22476.322
2007,7378.431,3606.314,87027.4465,25914.238,9487.789,5523.545,16873.078,12887.572,25914.238
2008,8315.924,4880.719,82853.3492,29527.552,8713.327,6477.095,19100.359,12661.544,29527.552
2009,8993.251,5745.838,83747.5603,30764.707,11266.294,6903.741,19947.888,17908.101,30764.707
2010,10663.086,4626.172,74116.0034,35166.721,12523.517,8038.781,23783.834,17560.255,35166.721
2011,12040.342,4728.449,88302.4112,38851.259,12039.822,8996.448,26673.573,18310.177,38851.259
2012,12566.722,5962.92,103271.6885,39873.91,18085.302,9783.515,27864.399,20557.318,39873.91
2013,4393.0,2576.0,59338.5963,21848.0,3388.0,2674.0,12781.0,19967.0,21848.0
2014,4475.0,2284.0,67891.7357,20247.0,3408.0,2927.0,12088.0,17821.0,20247.0
2015,4844.0,4423.0,66137.3852,20405.0,5871.0,3372.0,12683.0,19099.0,20405.0
2016,4975.0,1400.0,56572.8983,20853.0,20681.0,3622.0,12743.0,18302.0,20853.0
2017,7017.0,477.0,99507.3661,27390.0,27210.0,3996.0,17277.0,17916.0,27390.0
2018,7562.0,2368.0,126983.9223,30578.0,19359.0,4284.0,19201.0,16974.0,30578.0
1999,11.872,-0.457,11.01,174.133,51.93,8.804,21.469,17.725,174.133
2000,7.902,0.676,10.3005,154.075,50.181,5.14,17.762,17.931,154.075
2001,5.766,0.812,15.1588,117.326,35.163,2.601,13.309,18.274,117.326
2002,1.976,-1.074,11.5394,74.015,33.524,0.088,10.022,16.735,74.015
2003,-3.545,-1.85,12.9426,38.947,27.411,-4.7,6.659,14.413,38.947
2004,0.871,1.8,14.8577,22.636,25.355,-0.326,10.208,15.186,22.636
2005,-0.307,0.526,15.7174,18.183,21.29,-1.177,8.382,13.227,18.183
2006,-1.005,0.967,15.3072,19.02,25.139,-1.998,8.032,13.685,19.02
2007,-2.293,1.336,21.0984,17.756,19.71,-3.052,6.648,14.511,17.756
2008,-3.305,-4.587,8.3439,16.456,19.221,-4.126,6.341,8.57,16.456
2009,-3.879,-1.885,12.4988,18.562,5.94,-4.269,5.514,6.07,18.562
2010,-2.377,-2.319,8.5651,26.158,5.7,-2.714,7.226,3.603,26.158
1999,-2.957,-3.34,47.6824,0.507,0.067,-3.24,0.471,-12.675,0.507
2000,-7.988,-8.92,1.6323,1.409,1.418,-8.856,-7.988,-21.594,1.409
2001,-0.745,-3.285,0.5412,1.462,0.0,-2.127,-0.745,-24.88,1.462
2002,0.059,-0.063,0.0338,0.162,0.0,0.059,0.084,-24.943,0.162
2003,-0.029,-0.179,0.0203,0.075,0.0,-0.029,-0.029,-25.123,0.075
2004,-0.029,0.147,0.2029,0.093,0.0,-0.029,-0.013,-24.976,0.093
2005,-0.014,0.083,0.1691,0.099,0.0,-0.014,0.006,-24.893,0.099
2006,-0.05,-0.126,0.3044,0.002,0.0,-0.05,0.001,-25.019,0.002
2007,-0.564,2.062,10.0472,0.005,0.0,-0.564,-0.052,-22.957,0.005
2008,-0.697,-0.794,10.4776,0.093,0.0,-0.699,-0.106,-25.449,0.093
2010,-0.593,-0.596,11.3006,0.416,0.0,-0.596,0.406,-26.769,0.416
1999,7.766,6.091,73.784,169.189,0.925,7.411,23.094,31.224,169.189
2000,9.755,6.344,66.374,184.789,0.908,9.173,27.786,35.697,184.789
2001,7.759,4.245,65.1701,178.154,0.671,6.85,29.526,37.242,178.154
2002,8.965,4.945,69.6583,229.329,0.0,7.336,38.91,40.958,229.329
2003,13.973,7.595,190.5996,271.276,0.0,12.937,46.332,47.182,271.276
2004,17.163,13.067,282.392,297.718,0.0,16.044,54.037,58.034,297.718
2005,13.45,10.015,181.6294,313.381,0.0,12.159,54.392,64.001,313.381
2006,14.234,9.237,168.0038,297.13,0.0,12.888,52.105,71.304,297.13
2007,16.855,10.212,225.0525,313.473,0.0,15.064,56.284,80.41,313.473
2008,23.755,13.473,186.7674,359.591,0.0,21.377,69.683,94.892,359.591
2009,13.209,8.629,165.2226,322.646,0.0,11.343,57.486,92.975,322.646
2010,16.895,6.581,145.628,346.631,0.55,14.099,57.81,87.911,346.631
2011,23.112,8.968,178.6202,412.428,48.75,17.61,71.34,98.456,412.428
2012,33.953,16.981,243.2411,444.388,39.052,27.011,88.974,103.663,444.388
2013,44.604,22.328,387.6858,499.69,20.355,37.66,105.215,121.517,499.69
2014,55.608,29.0,521.9241,510.179,97.158,47.516,122.795,146.14,510.179
2015,65.676,33.483,717.8906,546.951,99.96,53.827,147.283,160.112,546.951
2016,69.652,34.766,647.8346,558.524,118.592,56.954,155.483,188.479,558.524
2017,68.18,11.376,464.9523,638.318,339.2,44.426,169.048,190.568,638.318
2018,15.625,-316.121,103.1365,711.359,302.916,-17.187,144.375,-127.622,711.359
1999,35.765,6.59,633.7406,278.188,403.761,21.584,35.765,-20.463,278.188
2000,19.107,148.9,315.171,224.564,385.439,3.659,19.107,127.738,224.564
2001,-7.725,45.535,616.49,198.857,1.493,-26.051,-7.725,173.273,198.857
1999,7.441,2.707,27.5736,79.813,5.987,5.272,24.975,-2.322,79.813
2000,7.195,0.802,43.7891,80.914,10.313,5.019,26.166,-1.52,80.914
1999,1.555,2.168,3.9454,34.309,5.012,0.605,9.164,-3.503,34.309
2000,3.019,1.061,9.8663,34.413,4.924,2.429,12.767,-2.53,34.413
2001,3.036,1.28,13.299,36.165,2.875,2.47,14.404,-1.462,36.165
2002,1.593,0.659,12.7201,30.884,2.032,1.11,11.122,-1.529,30.884
2003,2.92,1.222,17.6364,34.975,2.752,2.486,13.567,0.64,34.975
2004,6.084,3.238,53.5841,43.381,0.055,5.575,20.246,4.002,43.381
2005,7.484,2.937,48.6227,49.946,5.577,6.843,22.996,6.475,49.946
2006,7.548,3.886,50.6367,56.863,10.218,6.713,25.418,10.074,56.863
2007,7.624,4.022,50.6306,63.173,10.187,6.752,27.365,14.758,63.173
2008,7.887,4.467,23.5682,68.719,11.75,6.879,28.665,16.656,68.719
2009,3.945,2.842,29.0514,59.149,9.154,3.027,22.992,19.694,59.149
2010,3.85,2.573,29.2169,63.149,13.522,2.98,24.235,21.524,63.149
2011,5.387,2.811,29.7825,73.302,17.568,4.409,27.302,23.364,73.302
2012,6.451,3.549,34.5,84.37,24.32,5.361,30.837,26.295,84.37
2013,7.084,4.003,47.6949,89.577,22.912,5.879,33.029,29.414,89.577
2014,9.394,4.789,65.7871,107.222,24.147,7.694,40.085,32.137,107.222
2015,9.799,4.794,58.2552,109.812,25.913,7.747,42.013,34.81,109.812
2016,10.865,5.851,85.0203,124.574,32.936,8.443,47.978,39.525,124.574
2017,10.691,4.052,78.9516,130.55,47.161,7.796,50.794,42.833,130.55
2018,10.686,4.598,47.7518,137.321,43.727,7.456,53.878,45.492,137.321
1999,13.621,-33.62,201.5684,342.131,1.15,-4.049,131.696,-46.762,342.131
1999,-0.225,-2.294,15.9063,22.404,9.072,-1.722,7.283,-16.871,22.404
2000,-0.329,-1.428,2.1718,21.054,6.353,-1.55,6.601,-18.299,21.054
2001,1.454,0.122,5.6133,22.809,6.998,0.693,7.38,-18.177,22.809
2002,-1.213,-3.631,4.1846,15.978,3.15,-1.732,4.737,-21.808,15.978
2003,1.899,0.868,14.0632,19.728,1.272,1.406,8.109,-20.94,19.728
2004,2.431,7.877,28.9643,20.656,0.0,1.924,9.592,-13.063,20.656
2005,6.072,10.292,96.0169,28.519,0.0,5.524,15.223,-2.771,28.519
2006,6.139,3.427,80.052,32.445,0.0,5.608,18.008,0.656,32.445
2007,2.658,1.846,42.1974,26.976,0.0,2.268,14.212,-4.196,26.976
2008,-2.665,-1.626,9.9241,19.175,1.5,-3.049,9.454,-5.822,19.175
2009,4.171,2.363,42.1262,27.989,0.0,3.499,14.338,-3.459,27.989
2010,0.183,-0.66,24.3162,25.954,2.0,-0.628,12.138,-4.119,25.954
2011,0.759,-0.493,14.8709,24.104,0.0,-0.653,11.544,-4.612,24.104
2012,4.248,2.065,22.7556,27.576,0.0,2.893,14.42,-2.547,27.576
2013,3.116,1.142,45.7949,27.023,0.0,1.641,13.222,-1.405,27.023
2014,3.713,1.623,65.592,30.971,0.0,2.528,14.372,0.218,30.971
2015,2.344,1.041,54.1001,29.722,0.0,1.43,13.196,1.656,29.722
2016,5.227,2.689,65.1938,50.689,0.0,4.285,18.019,2.301,50.689
2017,-0.159,-3.626,48.4646,39.395,0.0,-1.101,13.992,-1.132,39.395
2018,3.346,-0.195,48.0675,49.38,0.0,2.425,20.898,-2.393,49.38
1999,14.034,6.387,35.853,3995.477,9.9,7.963,18.853,23.906,3995.477
2000,19.606,8.84,59.052,7022.16,11.9,12.861,26.069,32.198,7022.16
2001,-5.784,-4.569,32.9004,4717.242,11.475,-12.51,2.11,27.081,4717.242
2002,7.787,1.452,22.1445,2323.317,11.475,2.222,15.96,27.985,2323.317
2003,14.893,3.102,57.1539,1721.929,11.475,9.228,21.192,30.117,1721.929
2004,20.537,8.608,74.4055,2069.788,11.475,13.965,28.404,37.46,2069.788
2005,26.071,17.641,96.3391,2364.833,11.475,19.011,35.739,53.541,2364.833
2006,24.452,10.483,127.004,2246.603,3.0,14.967,32.988,62.253,2246.603
2007,23.213,17.056,108.4026,2636.222,0.0,11.829,34.187,77.327,2636.222
2008,1.899,-5.572,71.706,4159.672,0.0,-11.474,11.566,69.646,4159.672
2009,16.721,4.149,93.0069,1943.128,0.0,6.401,26.31,71.686,1943.128
2010,24.363,8.631,102.5649,2211.97,0.0,12.546,33.407,78.04,2211.97
2011,48.87,22.931,122.7902,3214.399,0.0,32.61,58.583,98.567,3214.399
2012,62.56,27.791,147.9253,3380.964,0.0,41.846,72.329,123.743,3380.964
2013,56.651,21.61,288.933,3945.969,0.0,34.376,65.711,142.57,3945.969
2014,31.568,6.523,210.6891,4132.826,0.0,6.953,40.181,145.382,4132.826
2015,21.358,-1.275,161.9712,1944.279,0.0,-2.359,31.297,140.395,1944.279
2016,24.846,2.513,167.2437,1099.54,0.0,6.054,35.256,139.197,1099.54
1999,1.065,-0.645,6.603,31.061,0.171,0.14,6.398,2.489,31.061
2000,2.005,0.331,6.603,30.646,0.12,0.905,7.946,2.821,30.646
2001,2.269,0.271,12.2816,27.183,1.61,1.206,7.83,3.092,27.183
2002,4.119,2.36,22.4502,40.857,1.582,3.06,10.404,5.451,40.857
1999,232.834,-88.936,4301.733,2857.604,1427.282,-282.686,1408.69,855.821,2857.604
2000,1467.806,983.026,4339.0173,4644.187,1167.973,888.736,2708.62,1762.236,4644.187
2001,660.815,-60.581,5400.3776,3891.754,672.945,37.948,1931.775,1662.433,3891.754
2002,-96.642,-1303.012,2225.6509,2697.029,1779.837,-852.811,1347.537,542.573,2697.029
2003,748.386,-274.49,5218.7697,3519.168,1899.674,-247.277,2187.768,475.975,3519.168
2004,1451.517,91.156,8626.0928,5001.435,1628.268,227.265,3193.102,689.467,5001.435
2005,1466.999,165.483,13327.1262,5847.577,1327.065,247.655,3611.109,637.314,5847.577
2006,1238.0,-166.0,11131.45,5649.0,3672.0,401.0,3583.0,464.0,5649.0
2007,94.0,-3379.0,4545.0,6013.0,5031.0,-1211.0,3296.0,-2937.0,6013.0
2008,255.0,-3098.0,1315.44,5808.0,4702.0,-968.0,3407.0,-6090.0,5808.0
2009,615.0,376.0,6495.28,5403.0,4252.0,-513.0,3330.0,-5785.0,5403.0
2010,809.0,471.0,5586.94,6494.0,2188.0,492.0,3148.0,-5467.0,6494.0
2011,741.0,491.0,3769.2,6568.0,1527.0,495.0,3186.0,-4982.0,6568.0
2012,224.0,-1183.0,1711.2,5422.0,2037.0,31.0,2395.0,-6163.0,5422.0
2013,242.0,-83.0,2805.75,5299.0,1998.0,85.0,2117.0,-6245.0,5299.0
2014,278.0,-403.0,2071.92,5506.0,2035.0,149.0,1954.0,-6651.0,5506.0
2015,-222.0,-660.0,2273.04,3991.0,2032.0,-319.0,1207.0,-7314.0,3991.0
2016,-59.0,-497.0,10602.9,4272.0,1435.0,-130.0,1409.0,-7808.0,4272.0
2017,229.0,43.0,9940.76,5329.0,1325.0,152.0,1900.0,-7754.0,5329.0
2018,590.0,337.0,18552.3,6475.0,1114.0,496.0,2586.0,-7444.0,6475.0
1999,12234.0,3950.0,150855.5732,37120.0,13878.0,7880.0,21169.0,-713.0,37120.0
2002,4033.0,-9173.0,365.1064,32202.0,1046.0,742.0,13212.0,-78525.0,32202.0
2004,2133.0,-4002.0,6442.2893,20658.0,5909.0,209.0,7405.0,-4024.0,20658.0
1999,1.507,0.26,42.8422,23.271,3.751,0.977,8.881,7.244,23.271
2000,1.643,0.456,47.432,24.672,4.335,1.1,9.561,7.7,24.672
2001,2.732,1.04,75.46,27.424,3.347,2.129,10.865,8.74,27.424
2002,1.751,1.006,55.3645,25.672,2.29,1.113,9.527,3.515,25.672
2003,2.694,0.542,30.7799,31.113,2.216,2.011,9.302,4.057,31.113
2004,0.725,1.541,20.7813,30.721,2.794,0.071,8.721,5.026,30.721
2005,2.973,2.55,27.489,34.763,2.564,2.308,10.857,7.576,34.763
2006,1.742,0.565,25.0467,31.253,2.334,1.11,9.452,8.141,31.253
2007,-3.15,-3.381,17.885,25.41,0.0,-3.862,4.821,4.535,25.41
2008,-4.964,-5.327,3.077,20.451,0.0,-5.582,3.832,-0.792,20.451
2009,4.895,4.261,14.7001,31.136,0.0,4.405,12.181,3.469,31.136
2010,2.373,0.625,13.3839,29.618,4.985,1.871,9.439,4.094,29.618
2011,1.882,0.392,12.7426,29.607,4.278,1.341,8.875,4.486,29.607
2012,2.323,2.522,15.4674,31.021,4.414,1.778,12.381,7.008,31.021
2003,-3.135,-2.982,5.4318,7.144,11.794,-3.857,3.855,-139.746,7.144
2004,-1.621,-3.164,3.201,11.343,11.475,-2.951,5.777,-143.383,11.343
2005,-1.12,-0.501,3.3437,14.09,12.941,-2.531,7.414,-144.034,14.09
2006,-2.238,-7.58,8.0137,15.444,13.896,-3.89,7.949,-151.699,15.444
2007,-2.475,-11.813,1.4015,14.617,16.198,-4.111,6.922,-164.076,14.617
1999,1266.4,450.5,6231.537,5020.1,1961.6,720.6,2061.2,3427.4,5020.1
2000,1427.2,124.2,7711.884,5467.1,2615.8,833.6,2266.3,3260.1,5467.1
2001,1393.9,465.6,8312.5625,5717.2,2027.5,801.5,2214.4,3513.4,5717.2
2002,1342.9,525.4,9180.6974,5401.2,2041.0,761.9,2164.1,3745.9,5401.2
2003,1360.4,397.3,9986.2224,6297.3,2168.6,720.2,2314.1,3949.4,6297.3
2004,1553.0,604.1,12277.6445,7411.4,2113.6,838.1,2649.1,4446.4,7411.4
2005,1683.9,711.7,12235.5109,8143.5,2052.9,955.6,2844.8,4884.0,8143.5
2006,1776.5,723.4,14418.9489,8850.4,2280.2,1013.5,3008.6,5521.8,8850.4
2007,2178.8,1035.6,21053.2026,10037.8,2976.5,1338.8,3499.6,6315.6,10037.8
2008,2359.5,909.7,14337.3542,10414.5,3515.4,1490.5,3580.6,6440.9,10414.5
2009,1994.5,631.3,16389.5508,8256.2,3715.6,1154.2,3054.2,6072.8,8256.2
2010,2306.4,1029.1,17707.1645,9026.0,3659.8,1443.0,3378.0,6692.8,9026.0
2011,2501.9,1224.2,16051.8285,10082.0,3927.5,1628.0,3635.1,7346.1,10082.0
2012,2330.4,1167.3,17571.7652,9611.7,4584.2,1489.6,3397.1,7885.7,9611.7
2013,2415.3,994.2,22505.346,10180.4,5056.3,1508.3,3615.3,8625.8,10180.4
2014,2560.6,991.7,27798.507,10439.0,4824.5,1603.7,3761.3,8751.3,10439.0
2015,2806.7,1277.9,27475.5012,9894.9,3949.1,1870.3,3887.2,8454.5,9894.9
